order,contents,kind,manuscript
4.1,div2,ms_text_structure_treatise,psV
4.1.H,head,paratext,psV
4.1.1,div3,ms_text_structure_chapter,psV
4.1.1.H,head,paratext,psV
4.1.1.H.1,פרק,paratext,psV
4.1.1.H.2,א,paratext,psV
4.1.1.1,ab,milestone,psV
4.1.1.1.1,ארבעה,word,psV
4.1.1.1.2,אבות,word,psV
4.1.1.1.3,נזיקים,word,psV
4.1.1.1.4,השור,word,psV
4.1.1.1.5,והבור,word,psV
4.1.1.1.6,והמבעה,word,psV
4.1.1.1.7,וההבער,word,psV
4.1.1.1.8,לא,word,psV
4.1.1.1.9,הרי,word,psV
4.1.1.1.10,השור,word,psV
4.1.1.1.11,כהרי,word,psV
4.1.1.1.12,המבעה,word,psV
4.1.1.1.13,ולא,word,psV
4.1.1.1.14,הרי,word,psV
4.1.1.1.15,המבעה,word,psV
4.1.1.1.16,כהרי,word,psV
4.1.1.1.17,השור,word,psV
4.1.1.1.18,ולא,word,psV
4.1.1.1.19,זה,word,psV
4.1.1.1.20,וזה,word,psV
4.1.1.1.21,שיש,word,psV
4.1.1.1.22,בהן,word,psV
4.1.1.1.23,רוח,word,psV
4.1.1.1.24,חיים,word,psV
4.1.1.1.25,כהרי,word,psV
4.1.1.1.26,האש,word,psV
4.1.1.1.27,שאין,word,psV
4.1.1.1.28,בו,word,psV
4.1.1.1.29,רוח,word,psV
4.1.1.1.30,חיים,word,psV
4.1.1.1.31,ולא,word,psV
4.1.1.1.32,זה,word,psV
4.1.1.1.33,וזה,word,psV
4.1.1.1.34,שדרכן,word,psV
4.1.1.1.35,לילך,word,psV
4.1.1.1.36,ולהזיק,word,psV
4.1.1.1.37,כהרי,word,psV
4.1.1.1.38,הבור,word,psV
4.1.1.1.39,שאין,word,psV
4.1.1.1.40,דרכו,word,psV
4.1.1.1.41,לילך,word,psV
4.1.1.1.42,ולהזיק,word,psV
4.1.1.1.43,הצד,word,psV
4.1.1.1.44,השוה,word,psV
4.1.1.1.45,שבהן,word,psV
4.1.1.1.46,שדרכן,word,psV
4.1.1.1.47,להזיק,word,psV
4.1.1.1.48,ושמירתן,word,psV
4.1.1.1.49,עליך,word,psV
4.1.1.1.50,וכשהזיק,word,psV
4.1.1.1.51,חב,word,psV
4.1.1.1.52,המזיק,word,psV
4.1.1.1.53,לשלם,word,psV
4.1.1.1.54,תשלומי,word,psV
4.1.1.1.55,נזק,word,psV
4.1.1.1.56,במיטב,word,psV
4.1.1.1.57,הארץ,word,psV
4.1.1.2,ab,milestone,psV
4.1.1.2.1,כל,word,psV
4.1.1.2.2,שחבתי,word,psV
4.1.1.2.3,בשמירתו,word,psV
4.1.1.2.4,הכשרתי,word,psV
4.1.1.2.5,את,word,psV
4.1.1.2.6,נזקו,word,psV
4.1.1.2.7,הכשרתי,word,psV
4.1.1.2.8,במקצת,word,psV
4.1.1.2.9,נזקו,word,psV
4.1.1.2.10,חבתי,word,psV
4.1.1.2.11,בתשלומין,word,psV
4.1.1.2.12,כהכשר,word,psV
4.1.1.2.13,כל,word,psV
4.1.1.2.14,נזקו,word,psV
4.1.1.2.15,נכסים,word,psV
4.1.1.2.16,שאין,word,psV
4.1.1.2.17,בהן,word,psV
4.1.1.2.18,מעילה,word,psV
4.1.1.2.19,נכסים,word,psV
4.1.1.2.20,של,word,psV
4.1.1.2.21,בני,word,psV
4.1.1.2.22,ברית,word,psV
4.1.1.2.23,נכסים,word,psV
4.1.1.2.24,המיוחדים,word,psV
4.1.1.2.25,ובכל,word,psV
4.1.1.2.26,מקום,word,psV
4.1.1.2.27,חוץ,word,psV
4.1.1.2.28,מרשות,word,psV
4.1.1.2.29,המיוחדת,word,psV
4.1.1.2.30,למזיק,word,psV
4.1.1.2.31,ורשות,word,psV
4.1.1.2.32,הניזק,word,psV
4.1.1.2.33,והמזיק,word,psV
4.1.1.2.34,וכשהזיק,word,psV
4.1.1.2.35,חב,word,psV
4.1.1.2.36,המזיק,word,psV
4.1.1.2.37,לשלם,word,psV
4.1.1.2.38,תשלומי,word,psV
4.1.1.2.39,נזק,word,psV
4.1.1.2.40,במיטב,word,psV
4.1.1.2.41,הארץ,word,psV
4.1.1.3,ab,milestone,psV
4.1.1.3.1,שום,word,psV
4.1.1.3.2,כסף,word,psV
4.1.1.3.3,ושוה,word,psV
4.1.1.3.4,כסף,word,psV
4.1.1.3.5,בפני,word,psV
4.1.1.3.6,בית,word,psV
4.1.1.3.7,דין,word,psV
4.1.1.3.8,ועל,word,psV
4.1.1.3.9,פי,word,psV
4.1.1.3.10,עדים,word,psV
4.1.1.3.11,בני,word,psV
4.1.1.3.12,חורין,word,psV
4.1.1.3.13,בני,word,psV
4.1.1.3.14,ברית,word,psV
4.1.1.3.15,והנשים,word,psV
4.1.1.3.16,בכלל,word,psV
4.1.1.3.17,הנזק,word,psV
4.1.1.3.18,והניזק,word,psV
4.1.1.3.19,והמזיק,word,psV
4.1.1.3.20,בתשלומין,word,psV
4.1.1.4,ab,milestone,psV
4.1.1.4.1,חמשה,word,psV
4.1.1.4.2,תמין,word,psV
4.1.1.4.3,וחמשה,word,psV
4.1.1.4.4,מועדין,word,psV
4.1.1.4.5,הבהמה,word,psV
4.1.1.4.6,אינה,word,psV
4.1.1.4.7,מועדת,word,psV
4.1.1.4.8,לא,word,psV
4.1.1.4.9,ליגח,word,psV
4.1.1.4.10,ולא,word,psV
4.1.1.4.11,ליגוף,word,psV
4.1.1.4.12,ולא,word,psV
4.1.1.4.13,לשוך,word,psV
4.1.1.4.14,ולא,word,psV
4.1.1.4.15,לרבץ,word,psV
4.1.1.4.16,ולא,word,psV
4.1.1.4.17,לבעט,word,psV
4.1.1.4.18,השן,word,psV
4.1.1.4.19,מועדת,word,psV
4.1.1.4.20,לאכול,word,psV
4.1.1.4.21,את,word,psV
4.1.1.4.22,הראוי,word,psV
4.1.1.4.23,לה,word,psV
4.1.1.4.24,הרגל,word,psV
4.1.1.4.25,מועדת,word,psV
4.1.1.4.26,לשבר,word,psV
4.1.1.4.27,בדרך,word,psV
4.1.1.4.28,הלוכה,word,psV
4.1.1.4.29,ושור,word,psV
4.1.1.4.30,המועד,word,psV
4.1.1.4.31,ושור,word,psV
4.1.1.4.32,המזיק,word,psV
4.1.1.4.33,ברשות,word,psV
4.1.1.4.34,הניזק,word,psV
4.1.1.4.35,והאדם,word,psV
4.1.1.4.36,הזאב,word,psV
4.1.1.4.37,והארי,word,psV
4.1.1.4.38,והדוב,word,psV
4.1.1.4.39,והנמר,word,psV
4.1.1.4.40,והברדלס,word,psV
4.1.1.4.41,והנחש,word,psV
4.1.1.4.42,הרי,word,psV
4.1.1.4.43,אלו,word,psV
4.1.1.4.44,מועדין,word,psV
4.1.1.4.45,רבי,word,psV
4.1.1.4.46,אליעזר,word,psV
4.1.1.4.47,אומר,word,psV
4.1.1.4.48,בזמן,word,psV
4.1.1.4.49,שהן,word,psV
4.1.1.4.50,בני,word,psV
4.1.1.4.51,תרבות,word,psV
4.1.1.4.52,אינן,word,psV
4.1.1.4.53,מועדין,word,psV
4.1.1.4.54,והנחש,word,psV
4.1.1.4.55,מועד,word,psV
4.1.1.4.56,לעולם,word,psV
4.1.1.4.57,מה,word,psV
4.1.1.4.58,בין,word,psV
4.1.1.4.59,תם,word,psV
4.1.1.4.60,למועד,word,psV
4.1.1.4.61,אלא,word,psV
4.1.1.4.62,שהתם,word,psV
4.1.1.4.63,משלם,word,psV
4.1.1.4.64,חצי,word,psV
4.1.1.4.65,נזק,word,psV
4.1.1.4.66,מגופו,word,psV
4.1.1.4.67,ומועד,word,psV
4.1.1.4.68,משלם,word,psV
4.1.1.4.69,נזק,word,psV
4.1.1.4.70,שלם,word,psV
4.1.1.4.71,מן,word,psV
4.1.1.4.72,העליה,word,psV
4.1.1.T,trailer,paratext,psV
4.1.2,div3,ms_text_structure_chapter,psV
4.1.2.H,head,paratext,psV
4.1.2.H.1,פרק,paratext,psV
4.1.2.H.2,ב,paratext,psV
4.1.2.1,ab,milestone,psV
4.1.2.1.1,כיצד,word,psV
4.1.2.1.2,הרגל,word,psV
4.1.2.1.3,מועדת,word,psV
4.1.2.1.4,לשבר,word,psV
4.1.2.1.5,בדרך,word,psV
4.1.2.1.6,הלוכה,word,psV
4.1.2.1.7,הבהמה,word,psV
4.1.2.1.8,מועדת,word,psV
4.1.2.1.9,להלך,word,psV
4.1.2.1.10,כדרכה,word,psV
4.1.2.1.11,ולשבר,word,psV
4.1.2.1.12,היתה,word,psV
4.1.2.1.13,מבעטת,word,psV
4.1.2.1.14,או,word,psV
4.1.2.1.15,שהיו,word,psV
4.1.2.1.16,צרורות,word,psV
4.1.2.1.17,מנתזין,word,psV
4.1.2.1.18,מתחת,word,psV
4.1.2.1.19,רגליה,word,psV
4.1.2.1.20,ושברה,word,psV
4.1.2.1.21,את,word,psV
4.1.2.1.22,הכלים,word,psV
4.1.2.1.23,משלם,word,psV
4.1.2.1.24,חצי,word,psV
4.1.2.1.25,נזק,word,psV
4.1.2.1.26,דרסה,word,psV
4.1.2.1.27,על,word,psV
4.1.2.1.28,הכלי,word,psV
4.1.2.1.29,ושברתו,word,psV
4.1.2.1.30,ונפל,word,psV
4.1.2.1.31,על,word,psV
4.1.2.1.32,כלי,word,psV
4.1.2.1.33,ושברו,word,psV
4.1.2.1.34,על,word,psV
4.1.2.1.35,הראשון,word,psV
4.1.2.1.36,משלם,word,psV
4.1.2.1.37,נזק,word,psV
4.1.2.1.38,שלם,word,psV
4.1.2.1.39,ועל,word,psV
4.1.2.1.40,האחרון,word,psV
4.1.2.1.41,משלם,word,psV
4.1.2.1.42,חצי,word,psV
4.1.2.1.43,נזק,word,psV
4.1.2.1.44,התרנגולים,word,psV
4.1.2.1.45,מועדין,word,psV
4.1.2.1.46,להלך,word,psV
4.1.2.1.47,כדרכן,word,psV
4.1.2.1.48,ולשבר,word,psV
4.1.2.1.49,היה,word,psV
4.1.2.1.50,דליל,word,psV
4.1.2.1.51,קשור,word,psV
4.1.2.1.52,ברגליו,word,psV
4.1.2.1.53,או,word,psV
4.1.2.1.54,שהיה,word,psV
4.1.2.1.55,מהדס,word,psV
4.1.2.1.56,ומשבר,word,psV
4.1.2.1.57,את,word,psV
4.1.2.1.58,הכלים,word,psV
4.1.2.1.59,משלם,word,psV
4.1.2.1.60,חצי,word,psV
4.1.2.1.61,נזק,word,psV
4.1.2.2,ab,milestone,psV
4.1.2.2.1,כיצד,word,psV
4.1.2.2.2,השן,word,psV
4.1.2.2.3,מועדת,word,psV
4.1.2.2.4,לאכל,word,psV
4.1.2.2.5,את,word,psV
4.1.2.2.6,הראוי,word,psV
4.1.2.2.7,לה,word,psV
4.1.2.2.8,הבהמה,word,psV
4.1.2.2.9,מועדת,word,psV
