order,contents,kind,manuscript
4.1,div2,div,K
,head,paratext,K
4.1.1,div3,div,K
4.1.1.H,head,paratext,K
4.1.1.H.1,פרק,paratext,K
4.1.1.H.2,א,paratext,K
4.1.1.1,ab,misnhah,K
4.1.1.1.1,ארבעה,word,K
4.1.1.1.2,אבות,word,K
4.1.1.1.3,נזיקים,word,K
4.1.1.1.4,השור,word,K
4.1.1.1.5,והבור,word,K
4.1.1.1.6,והמבעה,word,K
4.1.1.1.7,וההבער,word,K
4.1.1.1.8,לא,word,K
4.1.1.1.9,הרי,word,K
4.1.1.1.10,השור,word,K
4.1.1.1.11,כהרי,word,K
4.1.1.1.12,המבעה,word,K
4.1.1.1.13,ולא,word,K
4.1.1.1.14,הרי,word,K
4.1.1.1.15,המבעה,word,K
4.1.1.1.16,כהרי,word,K
4.1.1.1.17,השור,word,K
4.1.1.1.18,ולא,word,K
4.1.1.1.19,זה,word,K
4.1.1.1.20,וזה,word,K
4.1.1.1.21,שיש,word,K
4.1.1.1.22,בהן,word,K
4.1.1.1.23,רוח,word,K
4.1.1.1.24,חיים,word,K
4.1.1.1.25,כהרי,word,K
4.1.1.1.26,האש,word,K
4.1.1.1.27,שאין,word,K
4.1.1.1.28,בו,word,K
4.1.1.1.29,רוח,word,K
4.1.1.1.30,חיים,word,K
4.1.1.1.31,ולא,word,K
4.1.1.1.32,זה,word,K
4.1.1.1.33,וזה,word,K
4.1.1.1.34,שדרכן,word,K
4.1.1.1.35,לילך,word,K
4.1.1.1.36,ולהזיק,word,K
4.1.1.1.37,כהרי,word,K
4.1.1.1.38,הבור,word,K
4.1.1.1.39,שאין,word,K
4.1.1.1.40,דרכו,word,K
4.1.1.1.41,לילך,word,K
4.1.1.1.42,ולהזיק,word,K
4.1.1.1.43,הצד,word,K
4.1.1.1.44,השוה,word,K
4.1.1.1.45,שבהן,word,K
4.1.1.1.46,שדרכן,word,K
4.1.1.1.47,להזיק,word,K
4.1.1.1.48,ושמירתן,word,K
4.1.1.1.49,עליך,word,K
4.1.1.1.50,וכשהזיק,word,K
4.1.1.1.51,חב,word,K
4.1.1.1.52,המזיק,word,K
4.1.1.1.53,לשלם,word,K
4.1.1.1.54,תשלומי,word,K
4.1.1.1.55,נזק,word,K
4.1.1.1.56,במיטב,word,K
4.1.1.1.57,הארץ,word,K
4.1.1.2,ab,misnhah,K
4.1.1.2.1,כל,word,K
4.1.1.2.2,שחבתי,word,K
4.1.1.2.3,בשמירתו,word,K
4.1.1.2.4,הכשרתי,word,K
4.1.1.2.5,את,word,K
4.1.1.2.6,נזקו,word,K
4.1.1.2.7,הכשרתי,word,K
4.1.1.2.8,במקצת,word,K
4.1.1.2.9,נזקו,word,K
4.1.1.2.10,חבתי,word,K
4.1.1.2.11,בתשלומין,word,K
4.1.1.2.12,כהכשר,word,K
4.1.1.2.13,כל,word,K
4.1.1.2.14,נזקו,word,K
4.1.1.2.15,נכסים,word,K
4.1.1.2.16,שאין,word,K
4.1.1.2.17,בהן,word,K
4.1.1.2.18,מעילה,word,K
4.1.1.2.19,נכסים,word,K
4.1.1.2.20,של,word,K
4.1.1.2.21,בני,word,K
4.1.1.2.22,ברית,word,K
4.1.1.2.23,נכסים,word,K
4.1.1.2.24,המיוחדים,word,K
4.1.1.2.25,ובכל,word,K
4.1.1.2.26,מקום,word,K
4.1.1.2.27,חוץ,word,K
4.1.1.2.28,מרשות,word,K
4.1.1.2.29,המיוחדת,word,K
4.1.1.2.30,למזיק,word,K
4.1.1.2.31,ורשות,word,K
4.1.1.2.32,הניזק,word,K
4.1.1.2.33,והמזיק,word,K
4.1.1.2.34,וכשהזיק,word,K
4.1.1.2.35,חב,word,K
4.1.1.2.36,המזיק,word,K
4.1.1.2.37,לשלם,word,K
4.1.1.2.38,תשלומי,word,K
4.1.1.2.39,נזק,word,K
4.1.1.2.40,במיטב,word,K
